game_pk,at_bat_index,at_bat_number,event_index,pitch_number,play_id,call_description,balls_after_pitch,strikes_after_pitch,outs_after_pitch,abs_overturned,abs_in_progress,review_type,challenge_team_id,batting_team_id,fielding_team_id,challenge_side,abs_player_id,abs_player_name
822745,7,8,0,1.0,1c57f338-eeab-3a45-b836-bb3cfbad1179,Called Strike,0,1,2,True,False,MJ,144.0,120,144,fielding,686948.0,Drake Baldwin
822745,30,31,1,2.0,0ab26ac2-1d2a-3829-829d-e940605275d3,Called Strike,0,2,0,True,False,MJ,144.0,120,144,fielding,686948.0,Drake Baldwin
822745,36,37,3,4.0,ca668b9e-d799-3ee8-8cb1-86071fe8f6f8,Called Strike,2,2,0,True,False,MJ,120.0,144,120,fielding,660688.0,Keibert Ruiz
822745,41,42,4,5.0,2b485e19-9786-34ec-8a07-a7e9325e2072,Called Strike,3,2,2,False,False,MJ,120.0,120,144,batting,695578.0,James Wood
822747,0,1,8,6.0,453c5f94-d27a-3457-95e7-7c096183e1a9,Ball,3,2,0,False,False,MJ,120.0,144,120,fielding,686452.0,Drew Millas
822747,3,4,1,2.0,54f7bd24-2a2c-32e3-9d7f-db8962c62738,Ball,2,0,0,True,False,MJ,120.0,120,144,batting,695578.0,James Wood
822747,14,15,0,1.0,03c3a0bb-8ca2-3b65-87e9-cb67021b6fab,Ball,1,0,2,True,False,MJ,144.0,144,120,batting,643289.0,Mauricio Dubón
822747,72,73,0,1.0,98755b99-55f8-38a2-8d2b-b90afbcdd926,Ball,1,0,2,False,False,MJ,120.0,144,120,fielding,686452.0,Drew Millas
822748,9,10,1,1.0,1850cf58-8fb5-34c9-b39d-c99aee4a90fd,Ball,1,0,2,False,False,MJ,144.0,120,144,fielding,641680.0,Jonah Heim
822748,68,69,2,3.0,a9d7d6a3-caf3-330b-ac5b-af6c81a394ee,Ball,2,1,1,False,False,MJ,144.0,120,144,fielding,641680.0,Jonah Heim
822750,23,24,2,3.0,34c1116b-6a99-3f35-9cd9-8073f2bb0b23,Called Strike,1,2,0,False,False,MJ,120.0,120,137,batting,695578.0,James Wood
822750,37,38,2,1.0,35bdcd16-2aee-3d9b-ab21-74ff91808735,Ball,1,0,2,False,False,MJ,120.0,137,120,fielding,660688.0,Keibert Ruiz
822751,32,33,0,1.0,06d6cb40-5598-3fc9-8db0-b0ee7e5f6702,Called Strike,0,1,0,False,False,MJ,137.0,137,120,batting,671218.0,Heliot Ramos
822751,97,98,0,1.0,c92d090a-1cdc-3829-a46a-96da1be5fc7d,Called Strike,0,1,1,False,False,MJ,137.0,137,120,batting,669477.0,Casey Schmitt
822752,18,19,0,1.0,fd376b1b-cb08-3134-a155-b53eb791327e,Ball,1,0,0,False,False,MJ,137.0,120,137,fielding,691740.0,Daniel Susac
822752,62,63,3,4.0,055e8a31-e4bc-3443-b07c-1aa335c1bf27,Ball,3,1,0,True,False,MJ,120.0,120,137,batting,691781.0,Brady House
822752,73,74,0,1.0,0887253b-c39b-3ab1-9df8-9d07b6c7d2d2,Called Strike,0,1,0,True,False,MJ,120.0,137,120,fielding,660688.0,Keibert Ruiz
822753,8,9,4,4.0,c1060edf-9d95-35d1-a75a-8b84835c1760,Ball,2,2,0,True,False,MJ,120.0,120,138,batting,691781.0,Brady House
822753,34,35,1,2.0,655dd593-8e03-3d2c-9211-62f962ea44e7,Called Strike,1,1,2,True,False,MJ,138.0,120,138,fielding,671056.0,Iván Herrera
822753,67,68,7,5.0,0a603d41-6bb6-3888-83d5-ddd3ad82fa62,Ball,3,2,2,False,False,MJ,120.0,138,120,fielding,686452.0,Drew Millas
822754,49,50,1,2.0,1a8aaf5e-f272-3dbb-9c85-b293db565a94,Ball,2,0,0,False,False,MJ,120.0,138,120,fielding,660688.0,Keibert Ruiz
822754,55,56,3,4.0,46f640cc-4cf0-32aa-85bd-8a8c34225a6a,Ball,3,1,2,False,False,MJ,138.0,120,138,fielding,686780.0,Pedro Pagés
822755,30,31,1,2.0,ea1bb305-86da-3c2c-bdb4-292292899c6d,Called Strike,0,2,0,False,False,MJ,120.0,120,138,batting,683083.0,Nasim Nuñez
822755,37,38,2,2.0,c6446d40-43d6-37de-97b8-94ba4f370a85,Ball,2,0,1,True,False,MJ,138.0,138,120,batting,671056.0,Iván Herrera
822755,64,65,0,1.0,6a598cdc-6397-3572-a798-6e24bd8c1bcd,Called Strike,0,1,0,True,False,MJ,120.0,138,120,fielding,686452.0,Drew Millas
822755,74,75,3,3.0,66234850-f309-3af4-8afc-9578d06c671b,Called Strike,1,2,1,True,False,MJ,138.0,120,138,fielding,671056.0,Iván Herrera
822756,32,33,1,,,"Nationals challenged (tag play), call on the field was overturned: CJ Abrams steals (2) 2nd base.",0,1,1,True,False,MA,120.0,120,119,batting,,
822756,63,64,0,1.0,f9c303fa-8e8e-33fa-90d9-13dcbe3d2533,Called Strike,0,1,0,False,False,MJ,119.0,119,120,batting,681624.0,Andy Pages
822756,77,78,4,4.0,80380b48-8238-3281-a805-27bcdec5c695,Called Strike,2,2,2,True,False,MJ,120.0,119,120,fielding,686452.0,Drew Millas
822757,19,20,1,2.0,9e00ad90-98ab-3364-8e04-ed87721cf41f,Called Strike,0,2,1,True,False,MJ,119.0,120,119,fielding,669257.0,Will Smith
822757,24,25,7,5.0,156b3c1c-3025-36ff-9f4b-7af1df92916d,Ball,3,2,2,True,False,MJ,119.0,119,120,batting,669743.0,Alex Call
822757,47,48,2,3.0,100aa1d1-fe0a-378a-b340-4d6384de843e,Ball,2,1,0,False,False,MJ,119.0,120,119,fielding,669257.0,Will Smith
822758,50,51,0,1.0,09715d20-6bed-36a3-8b91-756f785b1f82,Ball,1,0,1,True,False,MJ,120.0,120,119,batting,695734.0,Daylen Lile
822758,62,63,1,1.0,bdf74029-6e1c-3145-bff3-d9534349bc82,Called Strike,0,1,2,True,False,MJ,119.0,120,119,fielding,669257.0,Will Smith
822758,64,65,1,2.0,9b7251f2-a145-3546-bcef-1c4eb2befbf8,Called Strike,0,2,1,False,False,MJ,119.0,119,120,batting,660271.0,Shohei Ohtani
822758,79,80,2,2.0,45aae2a0-cad7-3e37-968c-ac54e29433c9,Called Strike,0,2,1,False,False,MJ,120.0,120,119,batting,671277.0,Luis García Jr.
822827,43,44,2,3.0,ca0d1d96-5d7b-328f-99a1-73279549c08b,Ball,3,0,2,True,False,MJ,141.0,141,114,batting,676914.0,Davis Schneider
822827,66,67,4,5.0,fb9e6fcf-3322-3d3a-8850-7f08b306bb57,Called Strike,3,2,2,True,False,MJ,141.0,114,141,fielding,623168.0,Tyler Heineman
822827,77,78,0,1.0,6c9bf4d3-3215-35fc-9ebb-ced05b25aa4e,Ball,1,0,2,True,False,MJ,141.0,141,114,batting,676914.0,Davis Schneider
